Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,Bank Card,12000.00,UAH,Rent,12000.00,UAH,Apartment rent
01.01.2026 09:03,Expense,Monobank,233.00,UAH,Cafe,233.00,UAH,Coffee
01.01.2026 10:15,Expense,Monobank,53.00,UAH,Transport,53.00,UAH,
02.01.2026 13:41,Expense,Cash,596.00,UAH,Groceries,596.00,UAH,ATB
02.01.2026 17:08,Expense,Cash,1023.00,UAH,Groceries,1023.00,UAH,Auchan
02.01.2026 18:00,Expense,Bank Card,2452.00,UAH,Clothing,2452.00,UAH,
02.01.2026 18:36,Expense,Monobank,624.00,UAH,Groceries,624.00,UAH,Novus
02.01.2026 20:54,Expense,Monobank,191.00,UAH,Cafe,191.00,UAH,Coffee
03.01.2026 09:30,Expense,Bank Card,2296.00,UAH,Utilities,2296.00,UAH,
04.01.2026 09:00,Expense,Monobank,300.00,UAH,Internet,300.00,UAH,
04.01.2026 09:05,Expense,Monobank,250.00,UAH,Mobile,250.00,UAH,
04.01.2026 11:19,Expense,Monobank,2326.00,UAH,Fuel,2326.00,UAH,
04.01.2026 13:19,Expense,Cash,46.00,UAH,Transport,46.00,UAH,
05.01.2026 10:34,Expense,Cash,138.00,UAH,Transport,138.00,UAH,
05.01.2026 10:39,Income,Salary,44063.00,UAH,Monobank,44063.00,UAH,Monthly salary
05.01.2026 21:00,Expense,Monobank,524.00,UAH,Entertainment,524.00,UAH,
06.01.2026 08:00,Expense,Monobank,600.00,UAH,Subscriptions,600.00,UAH,Netflix + Spotify
06.01.2026 08:18,Expense,Cash,1138.00,UAH,Groceries,1138.00,UAH,ATB
06.01.2026 17:13,Expense,Monobank,855.00,UAH,Groceries,855.00,UAH,Silpo
07.01.2026 11:00,Transfer,Monobank,9818.00,UAH,Savings Account,9818.00,UAH,Monthly savings
07.01.2026 17:00,Expense,Monobank,3468.00,UAH,Health,3468.00,UAH,
09.01.2026 09:42,Expense,Monobank,105.00,UAH,Cafe,105.00,UAH,Coffee
09.01.2026 16:08,Expense,Monobank,944.00,UAH,Groceries,944.00,UAH,Auchan
09.01.2026 18:00,Expense,Monobank,967.00,UAH,Entertainment,967.00,UAH,
09.01.2026 21:34,Expense,Monobank,1629.00,UAH,Restaurants,1629.00,UAH,
12.01.2026 09:05,Expense,Cash,1134.00,UAH,Groceries,1134.00,UAH,Auchan
12.01.2026 11:30,Expense,Monobank,1132.00,UAH,Groceries,1132.00,UAH,Auchan
12.01.2026 12:00,Income,Dividends,4050.00,UAH,Savings Account,4050.00,UAH,Quarterly dividends
12.01.2026 17:02,Expense,Monobank,172.00,UAH,Cafe,172.00,UAH,Coffee
13.01.2026 09:58,Expense,Monobank,1633.00,UAH,Fuel,1633.00,UAH,
14.01.2026 09:47,Expense,Monobank,186.00,UAH,Cafe,186.00,UAH,Coffee
14.01.2026 17:00,Transfer,Monobank,2889.00,UAH,Cash,2889.00,UAH,ATM withdrawal
14.01.2026 19:31,Expense,Monobank,1160.00,UAH,Restaurants,1160.00,UAH,
16.01.2026 15:00,Expense,Monobank,272.00,UAH,Cafe,272.00,UAH,Coffee
17.01.2026 18:44,Expense,Monobank,534.00,UAH,Groceries,534.00,UAH,ATB
18.01.2026 15:30,Income,Freelance,9515.00,UAH,Monobank,9515.00,UAH,Side project
19.01.2026 11:00,Expense,Monobank,328.00,UAH,Pharmacy,328.00,UAH,
22.01.2026 13:00,Expense,Monobank,1017.00,UAH,Entertainment,1017.00,UAH,
23.01.2026 16:42,Expense,Monobank,90.00,UAH,Transport,90.00,UAH,
26.01.2026 12:00,Expense,Cash,644.00,UAH,Pharmacy,644.00,UAH,
27.01.2026 20:19,Expense,Cash,47.00,UAH,Transport,47.00,UAH,
30.01.2026 16:01,Expense,Monobank,132.00,UAH,Transport,132.00,UAH,
01.02.2026 09:00,Expense,Bank Card,12000.00,UAH,Rent,12000.00,UAH,Apartment rent
01.02.2026 19:24,Expense,Cash,102.00,UAH,Transport,102.00,UAH,
02.02.2026 16:00,Expense,Monobank,804.00,UAH,Entertainment,804.00,UAH,
03.02.2026 08:10,Expense,Cash,1048.00,UAH,Groceries,1048.00,UAH,Silpo
03.02.2026 09:30,Expense,Bank Card,2391.00,UAH,Utilities,2391.00,UAH,
03.02.2026 20:10,Expense,Cash,51.00,UAH,Transport,51.00,UAH,
04.02.2026 09:00,Expense,Monobank,300.00,UAH,Internet,300.00,UAH,
04.02.2026 09:05,Expense,Monobank,250.00,UAH,Mobile,250.00,UAH,
05.02.2026 10:27,Income,Salary,45672.00,UAH,Monobank,45672.00,UAH,Monthly salary
05.02.2026 12:31,Expense,Cash,1248.00,UAH,Groceries,1248.00,UAH,Novus
06.02.2026 08:00,Expense,Monobank,600.00,UAH,Subscriptions,600.00,UAH,Netflix + Spotify
07.02.2026 11:00,Transfer,Monobank,9765.00,UAH,Savings Account,9765.00,UAH,Monthly savings
09.02.2026 11:17,Expense,Monobank,149.00,UAH,Cafe,149.00,UAH,Coffee
09.02.2026 15:00,Transfer,Monobank,2812.00,UAH,Cash,2812.00,UAH,ATM withdrawal
10.02.2026 11:12,Expense,Cash,100.00,UAH,Transport,100.00,UAH,
10.02.2026 15:42,Expense,Monobank,134.00,UAH,Cafe,134.00,UAH,Coffee
10.02.2026 16:02,Expense,Cash,87.00,UAH,Transport,87.00,UAH,
12.02.2026 13:11,Expense,Monobank,2369.00,UAH,Fuel,2369.00,UAH,
13.02.2026 20:18,Expense,Monobank,1887.00,UAH,Restaurants,1887.00,UAH,
15.02.2026 17:00,Expense,Monobank,2239.00,UAH,Shopping,2239.00,UAH,
15.02.2026 19:34,Expense,Monobank,133.00,UAH,Cafe,133.00,UAH,Coffee
16.02.2026 10:37,Expense,Cash,1037.00,UAH,Groceries,1037.00,UAH,ATB
16.02.2026 11:09,Expense,Monobank,100.00,UAH,Transport,100.00,UAH,
16.02.2026 13:07,Expense,Cash,1267.00,UAH,Groceries,1267.00,UAH,Novus
17.02.2026 11:39,Expense,Monobank,44.00,UAH,Transport,44.00,UAH,
17.02.2026 15:56,Expense,Monobank,709.00,UAH,Restaurants,709.00,UAH,
18.02.2026 09:24,Expense,Cash,1192.00,UAH,Groceries,1192.00,UAH,Novus
18.02.2026 18:21,Expense,Monobank,2176.00,UAH,Fuel,2176.00,UAH,
19.02.2026 11:00,Expense,Monobank,578.00,UAH,Pharmacy,578.00,UAH,
21.02.2026 11:20,Expense,Cash,1123.00,UAH,Groceries,1123.00,UAH,ATB
21.02.2026 17:58,Expense,Monobank,168.00,UAH,Cafe,168.00,UAH,Coffee
22.02.2026 16:00,Expense,Monobank,612.00,UAH,Pharmacy,612.00,UAH,
23.02.2026 11:57,Expense,Monobank,30.00,UAH,Transport,30.00,UAH,
24.02.2026 13:10,Expense,Monobank,296.00,UAH,Cafe,296.00,UAH,Coffee
24.02.2026 15:21,Expense,Monobank,189.00,UAH,Cafe,189.00,UAH,Coffee
24.02.2026 16:11,Expense,Monobank,605.00,UAH,Groceries,605.00,UAH,Novus
24.02.2026 20:00,Expense,Monobank,1017.00,UAH,Restaurants,1017.00,UAH,
26.02.2026 09:03,Expense,Monobank,137.00,UAH,Cafe,137.00,UAH,Coffee
26.02.2026 20:27,Expense,Cash,1272.00,UAH,Groceries,1272.00,UAH,ATB
27.02.2026 11:55,Expense,Cash,33.00,UAH,Transport,33.00,UAH,
27.02.2026 17:00,Expense,Monobank,1331.00,UAH,Entertainment,1331.00,UAH,
01.03.2026 09:00,Expense,Bank Card,12000.00,UAH,Rent,12000.00,UAH,Apartment rent
02.03.2026 08:38,Expense,Monobank,877.00,UAH,Groceries,877.00,UAH,Novus
02.03.2026 09:53,Expense,Cash,1227.00,UAH,Groceries,1227.00,UAH,Auchan
02.03.2026 18:26,Expense,Cash,116.00,UAH,Transport,116.00,UAH,
02.03.2026 20:20,Expense,Monobank,277.00,UAH,Cafe,277.00,UAH,Coffee
03.03.2026 09:30,Expense,Bank Card,1707.00,UAH,Utilities,1707.00,UAH,
04.03.2026 09:00,Expense,Monobank,300.00,UAH,Internet,300.00,UAH,
04.03.2026 09:05,Expense,Monobank,250.00,UAH,Mobile,250.00,UAH,
05.03.2026 10:27,Income,Salary,44735.00,UAH,Monobank,44735.00,UAH,Monthly salary
05.03.2026 12:07,Expense,Monobank,498.00,UAH,Groceries,498.00,UAH,ATB
06.03.2026 08:00,Expense,Monobank,600.00,UAH,Subscriptions,600.00,UAH,Netflix + Spotify
07.03.2026 11:00,Transfer,Monobank,9927.00,UAH,Savings Account,9927.00,UAH,Monthly savings
09.03.2026 12:08,Expense,Monobank,42.00,UAH,Transport,42.00,UAH,
09.03.2026 19:54,Expense,Cash,136.00,UAH,Transport,136.00,UAH,
10.03.2026 10:24,Expense,Cash,125.00,UAH,Transport,125.00,UAH,
11.03.2026 12:00,Expense,Monobank,486.00,UAH,Pharmacy,486.00,UAH,
11.03.2026 16:54,Expense,Monobank,291.00,UAH,Cafe,291.00,UAH,Coffee
12.03.2026 10:57,Expense,Monobank,119.00,UAH,Cafe,119.00,UAH,Coffee
12.03.2026 15:07,Expense,Cash,659.00,UAH,Groceries,659.00,UAH,Auchan
12.03.2026 17:57,Expense,Monobank,1593.00,UAH,Restaurants,1593.00,UAH,
13.03.2026 19:46,Expense,Cash,1247.00,UAH,Groceries,1247.00,UAH,Novus
