Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,بطاقة بنكية,3600.00,AED,الإيجار,3600.00,AED,إيجار الشقة
01.01.2026 09:03,Expense,بنك الإمارات,69.90,AED,مقهى,69.90,AED,قهوة
01.01.2026 10:15,Expense,بنك الإمارات,15.90,AED,المواصلات,15.90,AED,
02.01.2026 13:41,Expense,نقد,178.80,AED,البقالة,178.80,AED,يونيون كوب
02.01.2026 17:08,Expense,نقد,306.90,AED,البقالة,306.90,AED,لولو
02.01.2026 18:00,Expense,بطاقة بنكية,735.60,AED,الملابس,735.60,AED,
02.01.2026 18:36,Expense,بنك الإمارات,187.20,AED,البقالة,187.20,AED,كارفور
02.01.2026 20:54,Expense,بنك الإمارات,57.30,AED,مقهى,57.30,AED,قهوة
03.01.2026 09:30,Expense,بطاقة بنكية,688.80,AED,الفواتير,688.80,AED,
04.01.2026 09:00,Expense,بنك الإمارات,90.00,AED,الإنترنت,90.00,AED,
04.01.2026 09:05,Expense,بنك الإمارات,75.00,AED,الهاتف,75.00,AED,
04.01.2026 11:19,Expense,بنك الإمارات,697.80,AED,الوقود,697.80,AED,
04.01.2026 13:19,Expense,نقد,13.80,AED,المواصلات,13.80,AED,
05.01.2026 10:34,Expense,نقد,41.40,AED,المواصلات,41.40,AED,
05.01.2026 10:39,Income,راتب,13218.90,AED,بنك الإمارات,13218.90,AED,الراتب الشهري
05.01.2026 21:00,Expense,بنك الإمارات,157.20,AED,الترفيه,157.20,AED,
06.01.2026 08:00,Expense,بنك الإمارات,180.00,AED,الاشتراكات,180.00,AED,Netflix + Spotify
06.01.2026 08:18,Expense,نقد,341.40,AED,البقالة,341.40,AED,يونيون كوب
06.01.2026 17:13,Expense,بنك الإمارات,256.50,AED,البقالة,256.50,AED,سبينس
07.01.2026 11:00,Transfer,بنك الإمارات,2945.40,AED,حساب توفير,2945.40,AED,ادخار شهري
07.01.2026 17:00,Expense,بنك الإمارات,1040.40,AED,الصحة,1040.40,AED,
09.01.2026 09:42,Expense,بنك الإمارات,31.50,AED,مقهى,31.50,AED,قهوة
09.01.2026 16:08,Expense,بنك الإمارات,283.20,AED,البقالة,283.20,AED,لولو
09.01.2026 18:00,Expense,بنك الإمارات,290.10,AED,الترفيه,290.10,AED,
09.01.2026 21:34,Expense,بنك الإمارات,488.70,AED,المطاعم,488.70,AED,
12.01.2026 09:05,Expense,نقد,340.20,AED,البقالة,340.20,AED,لولو
12.01.2026 11:30,Expense,بنك الإمارات,339.60,AED,البقالة,339.60,AED,لولو
12.01.2026 12:00,Income,أرباح الأسهم,1215.00,AED,حساب توفير,1215.00,AED,أرباح ربع سنوية
12.01.2026 17:02,Expense,بنك الإمارات,51.60,AED,مقهى,51.60,AED,قهوة
13.01.2026 09:58,Expense,بنك الإمارات,489.90,AED,الوقود,489.90,AED,
14.01.2026 09:47,Expense,بنك الإمارات,55.80,AED,مقهى,55.80,AED,قهوة
14.01.2026 17:00,Transfer,بنك الإمارات,866.70,AED,نقد,866.70,AED,سحب من الصراف
14.01.2026 19:31,Expense,بنك الإمارات,348.00,AED,المطاعم,348.00,AED,
16.01.2026 15:00,Expense,بنك الإمارات,81.60,AED,مقهى,81.60,AED,قهوة
17.01.2026 18:44,Expense,بنك الإمارات,160.20,AED,البقالة,160.20,AED,يونيون كوب
18.01.2026 15:30,Income,دخل حر,2854.50,AED,بنك الإمارات,2854.50,AED,مشروع جانبي
19.01.2026 11:00,Expense,بنك الإمارات,98.40,AED,الصيدلية,98.40,AED,
22.01.2026 13:00,Expense,بنك الإمارات,305.10,AED,الترفيه,305.10,AED,
23.01.2026 16:42,Expense,بنك الإمارات,27.00,AED,المواصلات,27.00,AED,
26.01.2026 12:00,Expense,نقد,193.20,AED,الصيدلية,193.20,AED,
27.01.2026 20:19,Expense,نقد,14.10,AED,المواصلات,14.10,AED,
30.01.2026 16:01,Expense,بنك الإمارات,39.60,AED,المواصلات,39.60,AED,
01.02.2026 09:00,Expense,بطاقة بنكية,3600.00,AED,الإيجار,3600.00,AED,إيجار الشقة
01.02.2026 19:24,Expense,نقد,30.60,AED,المواصلات,30.60,AED,
02.02.2026 16:00,Expense,بنك الإمارات,241.20,AED,الترفيه,241.20,AED,
03.02.2026 08:10,Expense,نقد,314.40,AED,البقالة,314.40,AED,سبينس
03.02.2026 09:30,Expense,بطاقة بنكية,717.30,AED,الفواتير,717.30,AED,
03.02.2026 20:10,Expense,نقد,15.30,AED,المواصلات,15.30,AED,
04.02.2026 09:00,Expense,بنك الإمارات,90.00,AED,الإنترنت,90.00,AED,
04.02.2026 09:05,Expense,بنك الإمارات,75.00,AED,الهاتف,75.00,AED,
