Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,Carte bancaire,1200.00,EUR,Loyer,1200.00,EUR,Loyer appartement
01.01.2026 09:03,Expense,Banque Populaire,23.30,EUR,Café,23.30,EUR,Café
01.01.2026 10:15,Expense,Banque Populaire,5.30,EUR,Transport,5.30,EUR,
02.01.2026 13:41,Expense,Espèces,59.60,EUR,Courses,59.60,EUR,Lidl
02.01.2026 17:08,Expense,Espèces,102.30,EUR,Courses,102.30,EUR,Auchan
02.01.2026 18:00,Expense,Carte bancaire,245.20,EUR,Vêtements,245.20,EUR,
02.01.2026 18:36,Expense,Banque Populaire,62.40,EUR,Courses,62.40,EUR,Carrefour
02.01.2026 20:54,Expense,Banque Populaire,19.10,EUR,Café,19.10,EUR,Café
03.01.2026 09:30,Expense,Carte bancaire,229.60,EUR,Factures,229.60,EUR,
04.01.2026 09:00,Expense,Banque Populaire,30.00,EUR,Internet,30.00,EUR,
04.01.2026 09:05,Expense,Banque Populaire,25.00,EUR,Mobile,25.00,EUR,
04.01.2026 11:19,Expense,Banque Populaire,232.60,EUR,Essence,232.60,EUR,
04.01.2026 13:19,Expense,Espèces,4.60,EUR,Transport,4.60,EUR,
05.01.2026 10:34,Expense,Espèces,13.80,EUR,Transport,13.80,EUR,
05.01.2026 10:39,Income,Salaire,4406.30,EUR,Banque Populaire,4406.30,EUR,Salaire mensuel
05.01.2026 21:00,Expense,Banque Populaire,52.40,EUR,Loisirs,52.40,EUR,
06.01.2026 08:00,Expense,Banque Populaire,60.00,EUR,Abonnements,60.00,EUR,Netflix + Spotify
06.01.2026 08:18,Expense,Espèces,113.80,EUR,Courses,113.80,EUR,Lidl
06.01.2026 17:13,Expense,Banque Populaire,85.50,EUR,Courses,85.50,EUR,Leclerc
07.01.2026 11:00,Transfer,Banque Populaire,981.80,EUR,Compte épargne,981.80,EUR,Épargne mensuelle
07.01.2026 17:00,Expense,Banque Populaire,346.80,EUR,Santé,346.80,EUR,
09.01.2026 09:42,Expense,Banque Populaire,10.50,EUR,Café,10.50,EUR,Café
09.01.2026 16:08,Expense,Banque Populaire,94.40,EUR,Courses,94.40,EUR,Auchan
09.01.2026 18:00,Expense,Banque Populaire,96.70,EUR,Loisirs,96.70,EUR,
09.01.2026 21:34,Expense,Banque Populaire,162.90,EUR,Restaurants,162.90,EUR,
12.01.2026 09:05,Expense,Espèces,113.40,EUR,Courses,113.40,EUR,Auchan
12.01.2026 11:30,Expense,Banque Populaire,113.20,EUR,Courses,113.20,EUR,Auchan
12.01.2026 12:00,Income,Dividendes,405.00,EUR,Compte épargne,405.00,EUR,Dividendes trimestriels
12.01.2026 17:02,Expense,Banque Populaire,17.20,EUR,Café,17.20,EUR,Café
13.01.2026 09:58,Expense,Banque Populaire,163.30,EUR,Essence,163.30,EUR,
14.01.2026 09:47,Expense,Banque Populaire,18.60,EUR,Café,18.60,EUR,Café
14.01.2026 17:00,Transfer,Banque Populaire,288.90,EUR,Espèces,288.90,EUR,Retrait DAB
14.01.2026 19:31,Expense,Banque Populaire,116.00,EUR,Restaurants,116.00,EUR,
16.01.2026 15:00,Expense,Banque Populaire,27.20,EUR,Café,27.20,EUR,Café
17.01.2026 18:44,Expense,Banque Populaire,53.40,EUR,Courses,53.40,EUR,Lidl
18.01.2026 15:30,Income,Revenu freelance,951.50,EUR,Banque Populaire,951.50,EUR,Projet perso
19.01.2026 11:00,Expense,Banque Populaire,32.80,EUR,Pharmacie,32.80,EUR,
22.01.2026 13:00,Expense,Banque Populaire,101.70,EUR,Loisirs,101.70,EUR,
23.01.2026 16:42,Expense,Banque Populaire,9.00,EUR,Transport,9.00,EUR,
26.01.2026 12:00,Expense,Espèces,64.40,EUR,Pharmacie,64.40,EUR,
27.01.2026 20:19,Expense,Espèces,4.70,EUR,Transport,4.70,EUR,
30.01.2026 16:01,Expense,Banque Populaire,13.20,EUR,Transport,13.20,EUR,
01.02.2026 09:00,Expense,Carte bancaire,1200.00,EUR,Loyer,1200.00,EUR,Loyer appartement
01.02.2026 19:24,Expense,Espèces,10.20,EUR,Transport,10.20,EUR,
02.02.2026 16:00,Expense,Banque Populaire,80.40,EUR,Loisirs,80.40,EUR,
03.02.2026 08:10,Expense,Espèces,104.80,EUR,Courses,104.80,EUR,Leclerc
03.02.2026 09:30,Expense,Carte bancaire,239.10,EUR,Factures,239.10,EUR,
03.02.2026 20:10,Expense,Espèces,5.10,EUR,Transport,5.10,EUR,
04.02.2026 09:00,Expense,Banque Populaire,30.00,EUR,Internet,30.00,EUR,
04.02.2026 09:05,Expense,Banque Populaire,25.00,EUR,Mobile,25.00,EUR,
05.02.2026 10:27,Income,Salaire,4567.20,EUR,Banque Populaire,4567.20,EUR,Salaire mensuel
05.02.2026 12:31,Expense,Espèces,124.80,EUR,Courses,124.80,EUR,Carrefour
06.02.2026 08:00,Expense,Banque Populaire,60.00,EUR,Abonnements,60.00,EUR,Netflix + Spotify
07.02.2026 11:00,Transfer,Banque Populaire,976.50,EUR,Compte épargne,976.50,EUR,Épargne mensuelle
09.02.2026 11:17,Expense,Banque Populaire,14.90,EUR,Café,14.90,EUR,Café
09.02.2026 15:00,Transfer,Banque Populaire,281.20,EUR,Espèces,281.20,EUR,Retrait DAB
