Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,बैंक कार्ड,24000.00,INR,किराया,24000.00,INR,फ्लैट का किराया
01.02.2026 09:03,Expense,एचडीएफसी बैंक,466.00,INR,कैफे,466.00,INR,कॉफ़ी
01.02.2026 10:15,Expense,एचडीएफसी बैंक,106.00,INR,परिवहन,106.00,INR,
02.02.2026 13:41,Expense,नकद,1192.00,INR,किराना,1192.00,INR,डी-मार्ट
02.02.2026 17:08,Expense,नकद,2046.00,INR,किराना,2046.00,INR,रिलायंस फ्रेश
02.02.2026 18:00,Expense,बैंक कार्ड,4904.00,INR,कपड़े,4904.00,INR,
02.02.2026 18:36,Expense,एचडीएफसी बैंक,1248.00,INR,किराना,1248.00,INR,बिग बाज़ार
02.02.2026 20:54,Expense,एचडीएफसी बैंक,382.00,INR,कैफे,382.00,INR,कॉफ़ी
03.02.2026 09:30,Expense,बैंक कार्ड,4592.00,INR,बिल,4592.00,INR,
04.02.2026 09:00,Expense,एचडीएफसी बैंक,600.00,INR,इंटरनेट,600.00,INR,
04.02.2026 09:05,Expense,एचडीएफसी बैंक,500.00,INR,मोबाइल,500.00,INR,
04.02.2026 11:19,Expense,एचडीएफसी बैंक,4652.00,INR,ईंधन,4652.00,INR,
04.02.2026 13:19,Expense,नकद,92.00,INR,परिवहन,92.00,INR,
05.02.2026 10:34,Expense,नकद,276.00,INR,परिवहन,276.00,INR,
05.02.2026 10:39,Income,वेतन,88126.00,INR,एचडीएफसी बैंक,88126.00,INR,मासिक वेतन
05.02.2026 21:00,Expense,एचडीएफसी बैंक,1048.00,INR,मनोरंजन,1048.00,INR,
06.02.2026 08:00,Expense,एचडीएफसी बैंक,1200.00,INR,सदस्यता,1200.00,INR,Netflix + Spotify
06.02.2026 08:18,Expense,नकद,2276.00,INR,किराना,2276.00,INR,डी-मार्ट
06.02.2026 17:13,Expense,एचडीएफसी बैंक,1710.00,INR,किराना,1710.00,INR,मोर
07.02.2026 11:00,Transfer,एचडीएफसी बैंक,19636.00,INR,बचत खाता,19636.00,INR,मासिक बचत
07.02.2026 17:00,Expense,एचडीएफसी बैंक,6936.00,INR,स्वास्थ्य,6936.00,INR,
09.02.2026 09:42,Expense,एचडीएफसी बैंक,210.00,INR,कैफे,210.00,INR,कॉफ़ी
09.02.2026 16:08,Expense,एचडीएफसी बैंक,1888.00,INR,किराना,1888.00,INR,रिलायंस फ्रेश
09.02.2026 18:00,Expense,एचडीएफसी बैंक,1934.00,INR,मनोरंजन,1934.00,INR,
09.02.2026 21:34,Expense,एचडीएफसी बैंक,3258.00,INR,रेस्तरां,3258.00,INR,
12.02.2026 09:05,Expense,नकद,2268.00,INR,किराना,2268.00,INR,रिलायंस फ्रेश
12.02.2026 11:30,Expense,एचडीएफसी बैंक,2264.00,INR,किराना,2264.00,INR,रिलायंस फ्रेश
12.02.2026 12:00,Income,लाभांश आय,8100.00,INR,बचत खाता,8100.00,INR,तिमाही लाभांश
12.02.2026 17:02,Expense,एचडीएफसी बैंक,344.00,INR,कैफे,344.00,INR,कॉफ़ी
13.02.2026 09:58,Expense,एचडीएफसी बैंक,3266.00,INR,ईंधन,3266.00,INR,
14.02.2026 09:47,Expense,एचडीएफसी बैंक,372.00,INR,कैफे,372.00,INR,कॉफ़ी
14.02.2026 17:00,Transfer,एचडीएफसी बैंक,5778.00,INR,नकद,5778.00,INR,एटीएम से निकासी
14.02.2026 19:31,Expense,एचडीएफसी बैंक,2320.00,INR,रेस्तरां,2320.00,INR,
16.02.2026 15:00,Expense,एचडीएफसी बैंक,544.00,INR,कैफे,544.00,INR,कॉफ़ी
17.02.2026 18:44,Expense,एचडीएफसी बैंक,1068.00,INR,किराना,1068.00,INR,डी-मार्ट
18.02.2026 15:30,Income,फ्रीलांस आय,19030.00,INR,एचडीएफसी बैंक,19030.00,INR,साइड प्रोजेक्ट
19.02.2026 11:00,Expense,एचडीएफसी बैंक,656.00,INR,फार्मेसी,656.00,INR,
22.02.2026 13:00,Expense,एचडीएफसी बैंक,2034.00,INR,मनोरंजन,2034.00,INR,
23.02.2026 16:42,Expense,एचडीएफसी बैंक,180.00,INR,परिवहन,180.00,INR,
26.02.2026 12:00,Expense,नकद,1288.00,INR,फार्मेसी,1288.00,INR,
27.02.2026 20:19,Expense,नकद,94.00,INR,परिवहन,94.00,INR,
28.02.2026 16:01,Expense,एचडीएफसी बैंक,264.00,INR,परिवहन,264.00,INR,
01.03.2026 09:00,Expense,बैंक कार्ड,24000.00,INR,किराया,24000.00,INR,फ्लैट का किराया
01.03.2026 19:24,Expense,नकद,204.00,INR,परिवहन,204.00,INR,
02.03.2026 16:00,Expense,एचडीएफसी बैंक,1608.00,INR,मनोरंजन,1608.00,INR,
03.03.2026 08:10,Expense,नकद,2096.00,INR,किराना,2096.00,INR,मोर
03.03.2026 09:30,Expense,बैंक कार्ड,4782.00,INR,बिल,4782.00,INR,
03.03.2026 20:10,Expense,नकद,102.00,INR,परिवहन,102.00,INR,
04.03.2026 09:00,Expense,एचडीएफसी बैंक,600.00,INR,इंटरनेट,600.00,INR,
04.03.2026 09:05,Expense,एचडीएफसी बैंक,500.00,INR,मोबाइल,500.00,INR,
05.03.2026 10:27,Income,वेतन,91344.00,INR,एचडीएफसी बैंक,91344.00,INR,मासिक वेतन
05.03.2026 12:31,Expense,नकद,2496.00,INR,किराना,2496.00,INR,बिग बाज़ार
06.03.2026 08:00,Expense,एचडीएफसी बैंक,1200.00,INR,सदस्यता,1200.00,INR,Netflix + Spotify
07.03.2026 11:00,Transfer,एचडीएफसी बैंक,19530.00,INR,बचत खाता,19530.00,INR,मासिक बचत
09.03.2026 11:17,Expense,एचडीएफसी बैंक,298.00,INR,कैफे,298.00,INR,कॉफ़ी
09.03.2026 15:00,Transfer,एचडीएफसी बैंक,5624.00,INR,नकद,5624.00,INR,एटीएम से निकासी
10.03.2026 11:12,Expense,नकद,200.00,INR,परिवहन,200.00,INR,
10.03.2026 15:42,Expense,एचडीएफसी बैंक,268.00,INR,कैफे,268.00,INR,कॉफ़ी
10.03.2026 16:02,Expense,नकद,174.00,INR,परिवहन,174.00,INR,
12.03.2026 13:11,Expense,एचडीएफसी बैंक,4738.00,INR,ईंधन,4738.00,INR,
13.03.2026 20:18,Expense,एचडीएफसी बैंक,3774.00,INR,रेस्तरां,3774.00,INR,
15.03.2026 17:00,Expense,एचडीएफसी बैंक,4478.00,INR,खरीदारी,4478.00,INR,
15.03.2026 19:34,Expense,एचडीएफसी बैंक,266.00,INR,कैफे,266.00,INR,कॉफ़ी
16.03.2026 10:37,Expense,नकद,2074.00,INR,किराना,2074.00,INR,डी-मार्ट
16.03.2026 11:09,Expense,एचडीएफसी बैंक,200.00,INR,परिवहन,200.00,INR,
16.03.2026 13:07,Expense,नकद,2534.00,INR,किराना,2534.00,INR,बिग बाज़ार
17.03.2026 11:39,Expense,एचडीएफसी बैंक,88.00,INR,परिवहन,88.00,INR,
17.03.2026 15:56,Expense,एचडीएफसी बैंक,1418.00,INR,रेस्तरां,1418.00,INR,
18.03.2026 09:24,Expense,नकद,2384.00,INR,किराना,2384.00,INR,बिग बाज़ार
18.03.2026 18:21,Expense,एचडीएफसी बैंक,4352.00,INR,ईंधन,4352.00,INR,
19.03.2026 11:00,Expense,एचडीएफसी बैंक,1156.00,INR,फार्मेसी,1156.00,INR,
21.03.2026 11:20,Expense,नकद,2246.00,INR,किराना,2246.00,INR,डी-मार्ट
21.03.2026 17:58,Expense,एचडीएफसी बैंक,336.00,INR,कैफे,336.00,INR,कॉफ़ी
22.03.2026 16:00,Expense,एचडीएफसी बैंक,1224.00,INR,फार्मेसी,1224.00,INR,
23.03.2026 11:57,Expense,एचडीएफसी बैंक,60.00,INR,परिवहन,60.00,INR,
24.03.2026 13:10,Expense,एचडीएफसी बैंक,592.00,INR,कैफे,592.00,INR,कॉफ़ी
24.03.2026 15:21,Expense,एचडीएफसी बैंक,378.00,INR,कैफे,378.00,INR,कॉफ़ी
24.03.2026 16:11,Expense,एचडीएफसी बैंक,1210.00,INR,किराना,1210.00,INR,बिग बाज़ार
24.03.2026 20:00,Expense,एचडीएफसी बैंक,2034.00,INR,रेस्तरां,2034.00,INR,
26.03.2026 09:03,Expense,एचडीएफसी बैंक,274.00,INR,कैफे,274.00,INR,कॉफ़ी
26.03.2026 20:27,Expense,नकद,2544.00,INR,किराना,2544.00,INR,डी-मार्ट
27.03.2026 11:55,Expense,नकद,66.00,INR,परिवहन,66.00,INR,
27.03.2026 17:00,Expense,एचडीएफसी बैंक,2662.00,INR,मनोरंजन,2662.00,INR,
01.04.2026 09:00,Expense,बैंक कार्ड,24000.00,INR,किराया,24000.00,INR,फ्लैट का किराया
02.04.2026 08:38,Expense,एचडीएफसी बैंक,1754.00,INR,किराना,1754.00,INR,बिग बाज़ार
02.04.2026 09:53,Expense,नकद,2454.00,INR,किराना,2454.00,INR,रिलायंस फ्रेश
02.04.2026 18:26,Expense,नकद,232.00,INR,परिवहन,232.00,INR,
02.04.2026 20:20,Expense,एचडीएफसी बैंक,554.00,INR,कैफे,554.00,INR,कॉफ़ी
03.04.2026 09:30,Expense,बैंक कार्ड,3414.00,INR,बिल,3414.00,INR,
04.04.2026 09:00,Expense,एचडीएफसी बैंक,600.00,INR,इंटरनेट,600.00,INR,
04.04.2026 09:05,Expense,एचडीएफसी बैंक,500.00,INR,मोबाइल,500.00,INR,
05.04.2026 10:27,Income,वेतन,89470.00,INR,एचडीएफसी बैंक,89470.00,INR,मासिक वेतन
05.04.2026 12:07,Expense,एचडीएफसी बैंक,996.00,INR,किराना,996.00,INR,डी-मार्ट
06.04.2026 08:00,Expense,एचडीएफसी बैंक,1200.00,INR,सदस्यता,1200.00,INR,Netflix + Spotify
07.04.2026 11:00,Transfer,एचडीएफसी बैंक,19854.00,INR,बचत खाता,19854.00,INR,मासिक बचत
09.04.2026 12:08,Expense,एचडीएफसी बैंक,84.00,INR,परिवहन,84.00,INR,
09.04.2026 19:54,Expense,नकद,272.00,INR,परिवहन,272.00,INR,
10.04.2026 10:24,Expense,नकद,250.00,INR,परिवहन,250.00,INR,
11.04.2026 12:00,Expense,एचडीएफसी बैंक,972.00,INR,फार्मेसी,972.00,INR,
11.04.2026 16:54,Expense,एचडीएफसी बैंक,582.00,INR,कैफे,582.00,INR,कॉफ़ी
12.04.2026 10:57,Expense,एचडीएफसी बैंक,238.00,INR,कैफे,238.00,INR,कॉफ़ी
12.04.2026 15:07,Expense,नकद,1318.00,INR,किराना,1318.00,INR,रिलायंस फ्रेश
12.04.2026 17:57,Expense,एचडीएफसी बैंक,3186.00,INR,रेस्तरां,3186.00,INR,
13.04.2026 19:46,Expense,नकद,2494.00,INR,किराना,2494.00,INR,बिग बाज़ार
13.04.2026 21:00,Expense,एचडीएफसी बैंक,866.00,INR,मनोरंजन,866.00,INR,
14.04.2026 19:55,Expense,नकद,1174.00,INR,किराना,1174.00,INR,बिग बाज़ार
15.04.2026 14:00,Expense,एचडीएफसी बैंक,2236.00,INR,मनोरंजन,2236.00,INR,
16.04.2026 12:27,Expense,एचडीएफसी बैंक,4506.00,INR,ईंधन,4506.00,INR,
16.04.2026 17:53,Expense,नकद,2400.00,INR,किराना,2400.00,INR,मोर
17.04.2026 10:00,Expense,एचडीएफसी बैंक,1696.00,INR,फार्मेसी,1696.00,INR,
17.04.2026 17:18,Expense,एचडीएफसी बैंक,236.00,INR,कैफे,236.00,INR,कॉफ़ी
18.04.2026 15:42,Income,फ्रीलांस आय,23452.00,INR,एचडीएफसी बैंक,23452.00,INR,साइड प्रोजेक्ट
19.04.2026 13:00,Transfer,एचडीएफसी बैंक,6166.00,INR,नकद,6166.00,INR,एटीएम से निकासी
19.04.2026 13:45,Expense,एचडीएफसी बैंक,208.00,INR,परिवहन,208.00,INR,
19.04.2026 17:00,Expense,एचडीएफसी बैंक,4072.00,INR,खरीदारी,4072.00,INR,
20.04.2026 08:13,Expense,नकद,2288.00,INR,किराना,2288.00,INR,बिग बाज़ार
20.04.2026 09:47,Expense,नकद,2326.00,INR,किराना,2326.00,INR,डी-मार्ट
20.04.2026 18:00,Income,उपहार,2286.00,INR,नकद,2286.00,INR,उपहार
23.04.2026 13:09,Expense,एचडीएफसी बैंक,2500.00,INR,रेस्तरां,2500.00,INR,
23.04.2026 14:00,Expense,एचडीएफसी बैंक,4388.00,INR,स्वास्थ्य,4388.00,INR,
27.04.2026 10:51,Expense,एचडीएफसी बैंक,196.00,INR,परिवहन,196.00,INR,
27.04.2026 15:57,Expense,एचडीएफसी बैंक,192.00,INR,कैफे,192.00,INR,कॉफ़ी
27.04.2026 16:37,Expense,नकद,1708.00,INR,किराना,1708.00,INR,मोर
28.04.2026 11:15,Expense,एचडीएफसी बैंक,540.00,INR,कैफे,540.00,INR,कॉफ़ी
29.04.2026 13:00,Expense,एचडीएफसी बैंक,1306.00,INR,मनोरंजन,1306.00,INR,
29.04.2026 19:48,Expense,एचडीएफसी बैंक,374.00,INR,कैफे,374.00,INR,कॉफ़ी
30.04.2026 13:36,Expense,नकद,68.00,INR,परिवहन,68.00,INR,
01.05.2026 09:00,Expense,बैंक कार्ड,24000.00,INR,किराया,24000.00,INR,फ्लैट का किराया
01.05.2026 12:13,Expense,नकद,158.00,INR,परिवहन,158.00,INR,
01.05.2026 15:00,Expense,एचडीएफसी बैंक,8224.00,INR,खरीदारी,8224.00,INR,
01.05.2026 18:00,Expense,एचडीएफसी बैंक,2882.00,INR,मनोरंजन,2882.00,INR,
01.05.2026 19:31,Expense,एचडीएफसी बैंक,188.00,INR,परिवहन,188.00,INR,
02.05.2026 19:02,Expense,एचडीएफसी बैंक,1826.00,INR,किराना,1826.00,INR,रिलायंस फ्रेश
03.05.2026 09:14,Expense,एचडीएफसी बैंक,1966.00,INR,किराना,1966.00,INR,रिलायंस फ्रेश
03.05.2026 09:30,Expense,बैंक कार्ड,4454.00,INR,बिल,4454.00,INR,
03.05.2026 09:58,Expense,एचडीएफसी बैंक,1022.00,INR,किराना,1022.00,INR,मोर
04.05.2026 09:00,Expense,एचडीएफसी बैंक,600.00,INR,इंटरनेट,600.00,INR,
04.05.2026 09:05,Expense,एचडीएफसी बैंक,500.00,INR,मोबाइल,500.00,INR,
04.05.2026 20:50,Expense,एचडीएफसी बैंक,382.00,INR,कैफे,382.00,INR,कॉफ़ी
05.05.2026 10:09,Income,वेतन,92034.00,INR,एचडीएफसी बैंक,92034.00,INR,मासिक वेतन
05.05.2026 12:24,Expense,नकद,128.00,INR,परिवहन,128.00,INR,
06.05.2026 08:00,Expense,एचडीएफसी बैंक,1200.00,INR,सदस्यता,1200.00,INR,Netflix + Spotify
06.05.2026 09:02,Expense,एचडीएफसी बैंक,282.00,INR,कैफे,282.00,INR,कॉफ़ी
06.05.2026 10:00,Expense,नकद,1152.00,INR,फार्मेसी,1152.00,INR,
06.05.2026 14:02,Expense,एचडीएफसी बैंक,1110.00,INR,किराना,1110.00,INR,डी-मार्ट
07.05.2026 11:00,Transfer,एचडीएफसी बैंक,11032.00,INR,बचत खाता,11032.00,INR,मासिक बचत
07.05.2026 17:21,Expense,नकद,862.00,INR,किराना,862.00,INR,मोर
11.05.2026 12:10,Expense,एचडीएफसी बैंक,3154.00,INR,रेस्तरां,3154.00,INR,
11.05.2026 13:27,Expense,एचडीएफसी बैंक,4542.00,INR,ईंधन,4542.00,INR,
11.05.2026 14:29,Expense,एचडीएफसी बैंक,2504.00,INR,किराना,2504.00,INR,मोर
12.05.2026 12:00,Income,लाभांश आय,8614.00,INR,बचत खाता,8614.00,INR,तिमाही लाभांश
13.05.2026 09:30,Expense,नकद,2392.00,INR,किराना,2392.00,INR,रिलायंस फ्रेश
13.05.2026 18:28,Expense,एचडीएफसी बैंक,250.00,INR,कैफे,250.00,INR,कॉफ़ी
14.05.2026 13:57,Expense,नकद,116.00,INR,परिवहन,116.00,INR,
16.05.2026 10:00,Transfer,एचडीएफसी बैंक,5712.00,INR,नकद,5712.00,INR,एटीएम से निकासी
18.05.2026 15:28,Income,फ्रीलांस आय,25446.00,INR,एचडीएफसी बैंक,25446.00,INR,साइड प्रोजेक्ट
19.05.2026 19:00,Expense,नकद,922.00,INR,फार्मेसी,922.00,INR,
19.05.2026 21:00,Expense,एचडीएफसी बैंक,1646.00,INR,मनोरंजन,1646.00,INR,
20.05.2026 15:49,Expense,एचडीएफसी बैंक,76.00,INR,परिवहन,76.00,INR,
21.05.2026 10:00,Expense,बैंक कार्ड,21250.00,INR,यात्रा,21250.00,INR,सप्ताहांत यात्रा
22.05.2026 15:11,Expense,नकद,270.00,INR,परिवहन,270.00,INR,
24.05.2026 12:36,Expense,एचडीएफसी बैंक,434.00,INR,कैफे,434.00,INR,कॉफ़ी
24.05.2026 17:23,Expense,एचडीएफसी बैंक,238.00,INR,परिवहन,238.00,INR,
26.05.2026 11:52,Expense,एचडीएफसी बैंक,272.00,INR,कैफे,272.00,INR,कॉफ़ी
26.05.2026 19:02,Expense,नकद,2424.00,INR,किराना,2424.00,INR,बिग बाज़ार
27.05.2026 07:02,Expense,एचडीएफसी बैंक,66.00,INR,परिवहन,66.00,INR,
27.05.2026 16:05,Expense,एचडीएफसी बैंक,536.00,INR,कैफे,536.00,INR,कॉफ़ी
29.05.2026 16:12,Expense,एचडीएफसी बैंक,2362.00,INR,रेस्तरां,2362.00,INR,
01.06.2026 09:00,Expense,बैंक कार्ड,24000.00,INR,किराया,24000.00,INR,फ्लैट का किराया
01.06.2026 09:24,Expense,नकद,862.00,INR,किराना,862.00,INR,रिलायंस फ्रेश
02.06.2026 13:06,Expense,नकद,1244.00,INR,किराना,1244.00,INR,डी-मार्ट
02.06.2026 13:48,Expense,एचडीएफसी बैंक,3958.00,INR,ईंधन,3958.00,INR,
02.06.2026 18:07,Expense,नकद,1774.00,INR,किराना,1774.00,INR,मोर
02.06.2026 18:29,Expense,एचडीएफसी बैंक,128.00,INR,परिवहन,128.00,INR,
03.06.2026 09:30,Expense,बैंक कार्ड,5102.00,INR,बिल,5102.00,INR,
04.06.2026 09:00,Expense,एचडीएफसी बैंक,600.00,INR,इंटरनेट,600.00,INR,
