Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,銀行カード,120000.00,JPY,家賃,120000.00,JPY,アパート家賃
01.02.2026 09:03,Expense,楽天銀行,2330.00,JPY,カフェ,2330.00,JPY,コーヒー
01.02.2026 10:15,Expense,楽天銀行,530.00,JPY,交通費,530.00,JPY,
02.02.2026 13:41,Expense,現金,5960.00,JPY,食料品,5960.00,JPY,ローソン
02.02.2026 17:08,Expense,現金,10230.00,JPY,食料品,10230.00,JPY,セブンイレブン
02.02.2026 18:00,Expense,銀行カード,24520.00,JPY,衣類,24520.00,JPY,
02.02.2026 18:36,Expense,楽天銀行,6240.00,JPY,食料品,6240.00,JPY,イオン
02.02.2026 20:54,Expense,楽天銀行,1910.00,JPY,カフェ,1910.00,JPY,コーヒー
03.02.2026 09:30,Expense,銀行カード,22960.00,JPY,光熱費,22960.00,JPY,
04.02.2026 09:00,Expense,楽天銀行,3000.00,JPY,インターネット,3000.00,JPY,
04.02.2026 09:05,Expense,楽天銀行,2500.00,JPY,携帯,2500.00,JPY,
04.02.2026 11:19,Expense,楽天銀行,23260.00,JPY,ガソリン,23260.00,JPY,
04.02.2026 13:19,Expense,現金,460.00,JPY,交通費,460.00,JPY,
05.02.2026 10:34,Expense,現金,1380.00,JPY,交通費,1380.00,JPY,
05.02.2026 10:39,Income,給料,440630.00,JPY,楽天銀行,440630.00,JPY,月給
05.02.2026 21:00,Expense,楽天銀行,5240.00,JPY,娯楽,5240.00,JPY,
06.02.2026 08:00,Expense,楽天銀行,6000.00,JPY,サブスク,6000.00,JPY,Netflix + Spotify
06.02.2026 08:18,Expense,現金,11380.00,JPY,食料品,11380.00,JPY,ローソン
06.02.2026 17:13,Expense,楽天銀行,8550.00,JPY,食料品,8550.00,JPY,ファミマ
07.02.2026 11:00,Transfer,楽天銀行,98180.00,JPY,貯金口座,98180.00,JPY,毎月の貯金
07.02.2026 17:00,Expense,楽天銀行,34680.00,JPY,健康,34680.00,JPY,
09.02.2026 09:42,Expense,楽天銀行,1050.00,JPY,カフェ,1050.00,JPY,コーヒー
09.02.2026 16:08,Expense,楽天銀行,9440.00,JPY,食料品,9440.00,JPY,セブンイレブン
09.02.2026 18:00,Expense,楽天銀行,9670.00,JPY,娯楽,9670.00,JPY,
09.02.2026 21:34,Expense,楽天銀行,16290.00,JPY,レストラン,16290.00,JPY,
12.02.2026 09:05,Expense,現金,11340.00,JPY,食料品,11340.00,JPY,セブンイレブン
12.02.2026 11:30,Expense,楽天銀行,11320.00,JPY,食料品,11320.00,JPY,セブンイレブン
12.02.2026 12:00,Income,配当収入,40500.00,JPY,貯金口座,40500.00,JPY,四半期配当
12.02.2026 17:02,Expense,楽天銀行,1720.00,JPY,カフェ,1720.00,JPY,コーヒー
13.02.2026 09:58,Expense,楽天銀行,16330.00,JPY,ガソリン,16330.00,JPY,
14.02.2026 09:47,Expense,楽天銀行,1860.00,JPY,カフェ,1860.00,JPY,コーヒー
14.02.2026 17:00,Transfer,楽天銀行,28890.00,JPY,現金,28890.00,JPY,ATM引き出し
14.02.2026 19:31,Expense,楽天銀行,11600.00,JPY,レストラン,11600.00,JPY,
16.02.2026 15:00,Expense,楽天銀行,2720.00,JPY,カフェ,2720.00,JPY,コーヒー
