Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,Karta bankowa,2760.00,PLN,Czynsz,2760.00,PLN,Czynsz za mieszkanie
01.01.2026 09:03,Expense,PKO Bank,53.59,PLN,Kawiarnia,53.59,PLN,Kawa
01.01.2026 10:15,Expense,PKO Bank,12.19,PLN,Transport,12.19,PLN,
02.01.2026 13:41,Expense,Gotówka,137.08,PLN,Zakupy spożywcze,137.08,PLN,Auchan
02.01.2026 17:08,Expense,Gotówka,235.29,PLN,Zakupy spożywcze,235.29,PLN,Lidl
02.01.2026 18:00,Expense,Karta bankowa,563.96,PLN,Odzież,563.96,PLN,
02.01.2026 18:36,Expense,PKO Bank,143.52,PLN,Zakupy spożywcze,143.52,PLN,Biedronka
02.01.2026 20:54,Expense,PKO Bank,43.93,PLN,Kawiarnia,43.93,PLN,Kawa
03.01.2026 09:30,Expense,Karta bankowa,528.08,PLN,Rachunki,528.08,PLN,
04.01.2026 09:00,Expense,PKO Bank,69.00,PLN,Internet,69.00,PLN,
04.01.2026 09:05,Expense,PKO Bank,57.50,PLN,Telefon,57.50,PLN,
04.01.2026 11:19,Expense,PKO Bank,534.98,PLN,Paliwo,534.98,PLN,
04.01.2026 13:19,Expense,Gotówka,10.58,PLN,Transport,10.58,PLN,
05.01.2026 10:34,Expense,Gotówka,31.74,PLN,Transport,31.74,PLN,
05.01.2026 10:39,Income,Pensja,10134.49,PLN,PKO Bank,10134.49,PLN,Pensja miesięczna
05.01.2026 21:00,Expense,PKO Bank,120.52,PLN,Rozrywka,120.52,PLN,
06.01.2026 08:00,Expense,PKO Bank,138.00,PLN,Subskrypcje,138.00,PLN,Netflix + Spotify
06.01.2026 08:18,Expense,Gotówka,261.74,PLN,Zakupy spożywcze,261.74,PLN,Auchan
06.01.2026 17:13,Expense,PKO Bank,196.65,PLN,Zakupy spożywcze,196.65,PLN,Żabka
