Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,Cartão do banco,2400.00,BRL,Aluguel,2400.00,BRL,Aluguel do apê
01.02.2026 09:03,Expense,Nubank,46.60,BRL,Café,46.60,BRL,Café
01.02.2026 10:15,Expense,Nubank,10.60,BRL,Transporte,10.60,BRL,
02.02.2026 13:41,Expense,Dinheiro,119.20,BRL,Mercado,119.20,BRL,Extra
02.02.2026 17:08,Expense,Dinheiro,204.60,BRL,Mercado,204.60,BRL,Carrefour
02.02.2026 18:00,Expense,Cartão do banco,490.40,BRL,Roupas,490.40,BRL,
02.02.2026 18:36,Expense,Nubank,124.80,BRL,Mercado,124.80,BRL,Pão de Açúcar
02.02.2026 20:54,Expense,Nubank,38.20,BRL,Café,38.20,BRL,Café
03.02.2026 09:30,Expense,Cartão do banco,459.20,BRL,Faturas,459.20,BRL,
04.02.2026 09:00,Expense,Nubank,60.00,BRL,Internet,60.00,BRL,
04.02.2026 09:05,Expense,Nubank,50.00,BRL,Celular,50.00,BRL,
04.02.2026 11:19,Expense,Nubank,465.20,BRL,Combustível,465.20,BRL,
04.02.2026 13:19,Expense,Dinheiro,9.20,BRL,Transporte,9.20,BRL,
05.02.2026 10:34,Expense,Dinheiro,27.60,BRL,Transporte,27.60,BRL,
05.02.2026 10:39,Income,Salário,8812.60,BRL,Nubank,8812.60,BRL,Salário mensal
05.02.2026 21:00,Expense,Nubank,104.80,BRL,Lazer,104.80,BRL,
06.02.2026 08:00,Expense,Nubank,120.00,BRL,Assinaturas,120.00,BRL,Netflix + Spotify
06.02.2026 08:18,Expense,Dinheiro,227.60,BRL,Mercado,227.60,BRL,Extra
06.02.2026 17:13,Expense,Nubank,171.00,BRL,Mercado,171.00,BRL,Assaí
07.02.2026 11:00,Transfer,Nubank,1963.60,BRL,Conta poupança,1963.60,BRL,Poupança mensal
07.02.2026 17:00,Expense,Nubank,693.60,BRL,Saúde,693.60,BRL,
09.02.2026 09:42,Expense,Nubank,21.00,BRL,Café,21.00,BRL,Café
09.02.2026 16:08,Expense,Nubank,188.80,BRL,Mercado,188.80,BRL,Carrefour
09.02.2026 18:00,Expense,Nubank,193.40,BRL,Lazer,193.40,BRL,
09.02.2026 21:34,Expense,Nubank,325.80,BRL,Restaurantes,325.80,BRL,
12.02.2026 09:05,Expense,Dinheiro,226.80,BRL,Mercado,226.80,BRL,Carrefour
12.02.2026 11:30,Expense,Nubank,226.40,BRL,Mercado,226.40,BRL,Carrefour
12.02.2026 12:00,Income,Dividendos,810.00,BRL,Conta poupança,810.00,BRL,Dividendos trimestrais
12.02.2026 17:02,Expense,Nubank,34.40,BRL,Café,34.40,BRL,Café
13.02.2026 09:58,Expense,Nubank,326.60,BRL,Combustível,326.60,BRL,
14.02.2026 09:47,Expense,Nubank,37.20,BRL,Café,37.20,BRL,Café
14.02.2026 17:00,Transfer,Nubank,577.80,BRL,Dinheiro,577.80,BRL,Saque no caixa
14.02.2026 19:31,Expense,Nubank,232.00,BRL,Restaurantes,232.00,BRL,
16.02.2026 15:00,Expense,Nubank,54.40,BRL,Café,54.40,BRL,Café
17.02.2026 18:44,Expense,Nubank,106.80,BRL,Mercado,106.80,BRL,Extra
18.02.2026 15:30,Income,Renda freelance,1903.00,BRL,Nubank,1903.00,BRL,Projeto extra
19.02.2026 11:00,Expense,Nubank,65.60,BRL,Farmácia,65.60,BRL,
22.02.2026 13:00,Expense,Nubank,203.40,BRL,Lazer,203.40,BRL,
23.02.2026 16:42,Expense,Nubank,18.00,BRL,Transporte,18.00,BRL,
26.02.2026 12:00,Expense,Dinheiro,128.80,BRL,Farmácia,128.80,BRL,
