Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,Banka kartı,20400.00,TRY,Kira,20400.00,TRY,Ev kirası
01.02.2026 09:03,Expense,Ziraat Bankası,396.10,TRY,Kafe,396.10,TRY,Kahve
01.02.2026 10:15,Expense,Ziraat Bankası,90.10,TRY,Ulaşım,90.10,TRY,
02.02.2026 13:41,Expense,Nakit,1013.20,TRY,Market,1013.20,TRY,A101
02.02.2026 17:08,Expense,Nakit,1739.10,TRY,Market,1739.10,TRY,BİM
02.02.2026 18:00,Expense,Banka kartı,4168.40,TRY,Giyim,4168.40,TRY,
02.02.2026 18:36,Expense,Ziraat Bankası,1060.80,TRY,Market,1060.80,TRY,Migros
02.02.2026 20:54,Expense,Ziraat Bankası,324.70,TRY,Kafe,324.70,TRY,Kahve
03.02.2026 09:30,Expense,Banka kartı,3903.20,TRY,Faturalar,3903.20,TRY,
04.02.2026 09:00,Expense,Ziraat Bankası,510.00,TRY,İnternet,510.00,TRY,
04.02.2026 09:05,Expense,Ziraat Bankası,425.00,TRY,Telefon,425.00,TRY,
04.02.2026 11:19,Expense,Ziraat Bankası,3954.20,TRY,Yakıt,3954.20,TRY,
04.02.2026 13:19,Expense,Nakit,78.20,TRY,Ulaşım,78.20,TRY,
05.02.2026 10:34,Expense,Nakit,234.60,TRY,Ulaşım,234.60,TRY,
05.02.2026 10:39,Income,Maaş,74907.10,TRY,Ziraat Bankası,74907.10,TRY,Aylık maaş
05.02.2026 21:00,Expense,Ziraat Bankası,890.80,TRY,Eğlence,890.80,TRY,
06.02.2026 08:00,Expense,Ziraat Bankası,1020.00,TRY,Abonelikler,1020.00,TRY,Netflix + Spotify
06.02.2026 08:18,Expense,Nakit,1934.60,TRY,Market,1934.60,TRY,A101
06.02.2026 17:13,Expense,Ziraat Bankası,1453.50,TRY,Market,1453.50,TRY,CarrefourSA
07.02.2026 11:00,Transfer,Ziraat Bankası,16690.60,TRY,Tasarruf hesabı,16690.60,TRY,Aylık tasarruf
07.02.2026 17:00,Expense,Ziraat Bankası,5895.60,TRY,Sağlık,5895.60,TRY,
09.02.2026 09:42,Expense,Ziraat Bankası,178.50,TRY,Kafe,178.50,TRY,Kahve
09.02.2026 16:08,Expense,Ziraat Bankası,1604.80,TRY,Market,1604.80,TRY,BİM
09.02.2026 18:00,Expense,Ziraat Bankası,1643.90,TRY,Eğlence,1643.90,TRY,
09.02.2026 21:34,Expense,Ziraat Bankası,2769.30,TRY,Restoranlar,2769.30,TRY,
12.02.2026 09:05,Expense,Nakit,1927.80,TRY,Market,1927.80,TRY,BİM
12.02.2026 11:30,Expense,Ziraat Bankası,1924.40,TRY,Market,1924.40,TRY,BİM
12.02.2026 12:00,Income,Temettü geliri,6885.00,TRY,Tasarruf hesabı,6885.00,TRY,Üç aylık temettü
12.02.2026 17:02,Expense,Ziraat Bankası,292.40,TRY,Kafe,292.40,TRY,Kahve
13.02.2026 09:58,Expense,Ziraat Bankası,2776.10,TRY,Yakıt,2776.10,TRY,
14.02.2026 09:47,Expense,Ziraat Bankası,316.20,TRY,Kafe,316.20,TRY,Kahve
14.02.2026 17:00,Transfer,Ziraat Bankası,4911.30,TRY,Nakit,4911.30,TRY,ATM'den çekim
14.02.2026 19:31,Expense,Ziraat Bankası,1972.00,TRY,Restoranlar,1972.00,TRY,
16.02.2026 15:00,Expense,Ziraat Bankası,462.40,TRY,Kafe,462.40,TRY,Kahve
17.02.2026 18:44,Expense,Ziraat Bankası,907.80,TRY,Market,907.80,TRY,A101
18.02.2026 15:30,Income,Serbest gelir,16175.50,TRY,Ziraat Bankası,16175.50,TRY,Yan proje
19.02.2026 11:00,Expense,Ziraat Bankası,557.60,TRY,Eczane,557.60,TRY,
22.02.2026 13:00,Expense,Ziraat Bankası,1728.90,TRY,Eğlence,1728.90,TRY,
23.02.2026 16:42,Expense,Ziraat Bankası,153.00,TRY,Ulaşım,153.00,TRY,
26.02.2026 12:00,Expense,Nakit,1094.80,TRY,Eczane,1094.80,TRY,
27.02.2026 20:19,Expense,Nakit,79.90,TRY,Ulaşım,79.90,TRY,
28.02.2026 16:01,Expense,Ziraat Bankası,224.40,TRY,Ulaşım,224.40,TRY,
01.03.2026 09:00,Expense,Banka kartı,20400.00,TRY,Kira,20400.00,TRY,Ev kirası
01.03.2026 19:24,Expense,Nakit,173.40,TRY,Ulaşım,173.40,TRY,
02.03.2026 16:00,Expense,Ziraat Bankası,1366.80,TRY,Eğlence,1366.80,TRY,
03.03.2026 08:10,Expense,Nakit,1781.60,TRY,Market,1781.60,TRY,CarrefourSA
03.03.2026 09:30,Expense,Banka kartı,4064.70,TRY,Faturalar,4064.70,TRY,
03.03.2026 20:10,Expense,Nakit,86.70,TRY,Ulaşım,86.70,TRY,
04.03.2026 09:00,Expense,Ziraat Bankası,510.00,TRY,İnternet,510.00,TRY,
04.03.2026 09:05,Expense,Ziraat Bankası,425.00,TRY,Telefon,425.00,TRY,
05.03.2026 10:27,Income,Maaş,77642.40,TRY,Ziraat Bankası,77642.40,TRY,Aylık maaş
05.03.2026 12:31,Expense,Nakit,2121.60,TRY,Market,2121.60,TRY,Migros
06.03.2026 08:00,Expense,Ziraat Bankası,1020.00,TRY,Abonelikler,1020.00,TRY,Netflix + Spotify
07.03.2026 11:00,Transfer,Ziraat Bankası,16600.50,TRY,Tasarruf hesabı,16600.50,TRY,Aylık tasarruf
