Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.02.2026 09:00,Expense,Банківська картка,12000.00,UAH,Оренда,12000.00,UAH,Оренда квартири
01.02.2026 09:03,Expense,Монобанк,233.00,UAH,Кафе,233.00,UAH,Кава
01.02.2026 10:15,Expense,Монобанк,53.00,UAH,Транспорт,53.00,UAH,
02.02.2026 13:41,Expense,Готівка,596.00,UAH,Продукти,596.00,UAH,АТБ
02.02.2026 17:08,Expense,Готівка,1023.00,UAH,Продукти,1023.00,UAH,Ашан
02.02.2026 18:00,Expense,Банківська картка,2452.00,UAH,Одяг,2452.00,UAH,
02.02.2026 18:36,Expense,Монобанк,624.00,UAH,Продукти,624.00,UAH,Новус
02.02.2026 20:54,Expense,Монобанк,191.00,UAH,Кафе,191.00,UAH,Кава
03.02.2026 09:30,Expense,Банківська картка,2296.00,UAH,Комуналка,2296.00,UAH,
04.02.2026 09:00,Expense,Монобанк,300.00,UAH,Інтернет,300.00,UAH,
04.02.2026 09:05,Expense,Монобанк,250.00,UAH,Мобільний,250.00,UAH,
04.02.2026 11:19,Expense,Монобанк,2326.00,UAH,Пальне,2326.00,UAH,
04.02.2026 13:19,Expense,Готівка,46.00,UAH,Транспорт,46.00,UAH,
05.02.2026 10:34,Expense,Готівка,138.00,UAH,Транспорт,138.00,UAH,
05.02.2026 10:39,Income,Зарплата,44063.00,UAH,Монобанк,44063.00,UAH,Місячна зарплата
05.02.2026 21:00,Expense,Монобанк,524.00,UAH,Розваги,524.00,UAH,
06.02.2026 08:00,Expense,Монобанк,600.00,UAH,Підписки,600.00,UAH,Netflix + Spotify
06.02.2026 08:18,Expense,Готівка,1138.00,UAH,Продукти,1138.00,UAH,АТБ
06.02.2026 17:13,Expense,Монобанк,855.00,UAH,Продукти,855.00,UAH,Сільпо
07.02.2026 11:00,Transfer,Монобанк,9818.00,UAH,Ощадний рахунок,9818.00,UAH,Щомісячні заощадження
07.02.2026 17:00,Expense,Монобанк,3468.00,UAH,Здоров'я,3468.00,UAH,
09.02.2026 09:42,Expense,Монобанк,105.00,UAH,Кафе,105.00,UAH,Кава
09.02.2026 16:08,Expense,Монобанк,944.00,UAH,Продукти,944.00,UAH,Ашан
09.02.2026 18:00,Expense,Монобанк,967.00,UAH,Розваги,967.00,UAH,
09.02.2026 21:34,Expense,Монобанк,1629.00,UAH,Ресторани,1629.00,UAH,
12.02.2026 09:05,Expense,Готівка,1134.00,UAH,Продукти,1134.00,UAH,Ашан
12.02.2026 11:30,Expense,Монобанк,1132.00,UAH,Продукти,1132.00,UAH,Ашан
