Date,Type,Category (From),Amount (From),Currency (From),Category (To),Amount (To),Currency (To),Comment
01.01.2026 09:00,Expense,银行卡,3960.00,CNY,房租,3960.00,CNY,公寓租金
01.01.2026 09:03,Expense,招商银行,76.89,CNY,咖啡馆,76.89,CNY,咖啡
01.01.2026 10:15,Expense,招商银行,17.49,CNY,交通,17.49,CNY,
02.01.2026 13:41,Expense,现金,196.68,CNY,日用杂货,196.68,CNY,永辉超市
02.01.2026 17:08,Expense,现金,337.59,CNY,日用杂货,337.59,CNY,大润发
02.01.2026 18:00,Expense,银行卡,809.16,CNY,服装,809.16,CNY,
02.01.2026 18:36,Expense,招商银行,205.92,CNY,日用杂货,205.92,CNY,沃尔玛
02.01.2026 20:54,Expense,招商银行,63.03,CNY,咖啡馆,63.03,CNY,咖啡
03.01.2026 09:30,Expense,银行卡,757.68,CNY,水电费,757.68,CNY,
04.01.2026 09:00,Expense,招商银行,99.00,CNY,网络,99.00,CNY,
04.01.2026 09:05,Expense,招商银行,82.50,CNY,手机,82.50,CNY,
04.01.2026 11:19,Expense,招商银行,767.58,CNY,油费,767.58,CNY,
04.01.2026 13:19,Expense,现金,15.18,CNY,交通,15.18,CNY,
05.01.2026 10:34,Expense,现金,45.54,CNY,交通,45.54,CNY,
05.01.2026 10:39,Income,工资,14540.79,CNY,招商银行,14540.79,CNY,月薪
05.01.2026 21:00,Expense,招商银行,172.92,CNY,娱乐,172.92,CNY,
06.01.2026 08:00,Expense,招商银行,198.00,CNY,订阅,198.00,CNY,Netflix + Spotify
06.01.2026 08:18,Expense,现金,375.54,CNY,日用杂货,375.54,CNY,永辉超市
06.01.2026 17:13,Expense,招商银行,282.15,CNY,日用杂货,282.15,CNY,家乐福
07.01.2026 11:00,Transfer,招商银行,3239.94,CNY,储蓄账户,3239.94,CNY,每月储蓄
07.01.2026 17:00,Expense,招商银行,1144.44,CNY,健康,1144.44,CNY,
09.01.2026 09:42,Expense,招商银行,34.65,CNY,咖啡馆,34.65,CNY,咖啡
09.01.2026 16:08,Expense,招商银行,311.52,CNY,日用杂货,311.52,CNY,大润发
09.01.2026 18:00,Expense,招商银行,319.11,CNY,娱乐,319.11,CNY,
09.01.2026 21:34,Expense,招商银行,537.57,CNY,餐厅,537.57,CNY,
12.01.2026 09:05,Expense,现金,374.22,CNY,日用杂货,374.22,CNY,大润发
12.01.2026 11:30,Expense,招商银行,373.56,CNY,日用杂货,373.56,CNY,大润发
12.01.2026 12:00,Income,股息收入,1336.50,CNY,储蓄账户,1336.50,CNY,季度股息
12.01.2026 17:02,Expense,招商银行,56.76,CNY,咖啡馆,56.76,CNY,咖啡
13.01.2026 09:58,Expense,招商银行,538.89,CNY,油费,538.89,CNY,
14.01.2026 09:47,Expense,招商银行,61.38,CNY,咖啡馆,61.38,CNY,咖啡
14.01.2026 17:00,Transfer,招商银行,953.37,CNY,现金,953.37,CNY,ATM取款
